Step Strain_x Stress_x Strain_y Stress_y
1000.0 0.0083663356 -1.1717277 -0.0037959613 -1.2388813 
1001.0 0.0084671723 -1.2471223 -0.0037835669 -1.257207 
1002.0 0.0085680089 -1.2273295 -0.0037460134 -1.1767514 
1003.0 0.0086688455 -1.1293858 -0.0036849041 -0.94240561 
1004.0 0.0087696822 -0.86127224 -0.0036049199 -0.54266165 
1005.0 0.0088705188 -0.48557402 -0.0035140544 -0.13672301 
1006.0 0.0089713554 -0.11616493 -0.0034204303 0.15314524 
1007.0 0.0090721921 0.20488723 -0.0033298522 0.34520359 
1008.0 0.0091730287 0.49840704 -0.0032461691 0.52599369 
1009.0 0.0092738653 0.75818225 -0.0031730072 0.7198307 
1010.0 0.009374702 0.94930489 -0.003114256 0.88193831 
1011.0 0.0094755386 1.0154487 -0.0030731706 0.90727486 
1012.0 0.0095763752 0.90860278 -0.003050264 0.71437974 
1013.0 0.0096772119 0.6596774 -0.0030416719 0.36316332 
1014.0 0.0097780485 0.37931968 -0.0030403526 0.022457776 
1015.0 0.0098788851 0.15624026 -0.0030394731 -0.18910128 
1016.0 0.0099797218 0.028425575 -0.0030347895 -0.24873521 
1017.0 0.010080558 0.031221217 -0.0030251045 -0.16462352 
1018.0 0.010181395 0.15839394 -0.0030121047 0.011003644 
1019.0 0.010282232 0.28965081 -0.0029993139 0.12236316 
1020.0 0.010383068 0.23877348 -0.0029889669 -0.0020144914 
1021.0 0.010483905 -0.073111006 -0.0029785676 -0.34616463 
1022.0 0.010584742 -0.47603003 -0.0029612072 -0.68419371 
1023.0 0.010685578 -0.65950636 -0.0029300968 -0.74966801 
1024.0 0.010786415 -0.41508033 -0.0028839174 -0.43668394 
1025.0 0.010887251 0.19839446 -0.0028289499 0.11169506 
1026.0 0.010988088 0.90814134 -0.0027762076 0.66181668 
1027.0 0.011088925 1.4144639 -0.0027367453 1.0369593 
1028.0 0.011189761 1.6503159 -0.0027181067 1.2132956 
1029.0 0.011290598 1.7425516 -0.0027238414 1.2626301 
1030.0 0.011391435 1.7811361 -0.0027549452 1.2173323 
1031.0 0.011492271 1.7526001 -0.0028105095 1.0505615 
1032.0 0.011593108 1.6086074 -0.0028871817 0.74781397 
1033.0 0.011693945 1.3733719 -0.0029788749 0.38511266 
1034.0 0.011794781 1.1672787 -0.0030782973 0.10062077 
1035.0 0.011895618 1.0614997 -0.0031797303 -0.049520957 
1036.0 0.011996454 1.0002045 -0.0032801564 -0.13893288 
1037.0 0.012097291 0.90619253 -0.0033777792 -0.25595661 
1038.0 0.012198128 0.79913568 -0.0034702481 -0.37817057 
1039.0 0.012298964 0.74460543 -0.0035551091 -0.4211479 
1040.0 0.012399801 0.73303918 -0.0036315 -0.38694761 
1041.0 0.012500638 0.67768706 -0.0037001091 -0.35927173 
1042.0 0.012601474 0.52123656 -0.0037614932 -0.40389021 
1043.0 0.012702311 0.31273885 -0.0038147569 -0.48503712 
1044.0 0.012803148 0.1829868 -0.0038582707 -0.49084714 
1045.0 0.012903984 0.23476524 -0.0038919178 -0.34684267 
1046.0 0.013004821 0.47447432 -0.0039185903 -0.051534995 
1047.0 0.013105657 0.78982351 -0.0039442195 0.29788097 
1048.0 0.013206494 1.0149628 -0.0039758245 0.53997948 
1049.0 0.013307331 1.0286394 -0.0040182695 0.55724971 
1050.0 0.013408167 0.8284167 -0.004071902 0.34928398 
1051.0 0.013509004 0.55493121 -0.0041325447 0.051588165 
1052.0 0.013609841 0.40253777 -0.0041942172 -0.15008899 
1053.0 0.013710677 0.46416927 -0.0042528685 -0.17412061 
1054.0 0.013811514 0.65837872 -0.0043080159 -0.099239752 
1055.0 0.01391235 0.83269036 -0.0043611634 -0.053059481 
1056.0 0.014013187 0.9318053 -0.0044132388 -0.065857681 
1057.0 0.014114024 1.0126904 -0.0044639851 -0.068769853 
